MicroHit	TaxHit	HitID	Class
Pseudomonas extremaustralis	Pseudomonas extremaustralis	MRH1301	bacteria
Campylobacter concisus	Campylobacter concisus	MRH1302	bacteria
Aggregatibacter segnis	Aggregatibacter segnis	MRH1303	bacteria
Novosphingobium sp. PP1Y	Novosphingobium sp. PP1Y	MRH1304	bacteria
Novosphingobium sp. ABRDHK2	Novosphingobium sp. EMRT-2	MRH1305	bacteria
Eikenella	Eikenella	MRH1306	bacteria
Sphingosinicella sp. UDD2	Sphingosinicella flava	MRH1307	bacteria
Mesorhizobium sp. Pch-S	Mesorhizobium sp. Pch-S	MRH1308	bacteria
Rahnella aquatilis	Rahnella aquatilis	MRH1309	bacteria
Rubrivivax gelatinosus	Rubrivivax gelatinosus	MRH1310	bacteria
Zygosaccharomyces sapae	Zygosaccharomyces sapae	MRH1311	fungus
Enterococcus gallinarum	Enterococcus gallinarum	MRH1312	bacteria
Enterococcus sp. FDAARGOS_375	Enterococcus sp. FDAARGOS_375	MRH1313	bacteria
Aspergillus brunneoviolaceus	Aspergillus brunneoviolaceus	MRH1314	fungus
Aspergillus novofumigatus	Aspergillus novofumigatus	MRH1315	fungus
Aspergillus penicillioides	Aspergillus penicillioides	MRH1316	fungus
Starmerella magnoliae	Starmerella magnoliae	MRH1317	fungus
Lachancea thermotolerans	Lachancea thermotolerans	MRH1318	fungus
Neohortaea	Neohortaea	MRH1319	fungus
Neohortaea acidophila	Neohortaea acidophila	MRH1320	fungus
Thermococcus	Thermococcus	MRH1321	archaea
Thermococcus onnurineus	Thermococcus onnurineus	MRH1322	archaea
Ogataea polymorpha	Ogataea polymorpha	MRH1323	fungus
Phytophthora infestans	Phytophthora infestans	MRH1324	other_eukaryota
Serratia plymuthica	Serratia plymuthica	MRH1325	bacteria
Fonsecaea	Fonsecaea	MRH1326	fungus
Pyricularia pennisetigena	Pyricularia pennisetigena	MRH1327	fungus
Pyricularia oryzae	Pyricularia oryzae	MRH1328	fungus
Rheinheimera sp. F8	Rheinheimera sp. F8	MRH1329	bacteria
Tsuneonella	Tsuneonella	MRH1330	bacteria
Tsuneonella mangrovi	Tsuneonella mangrovi	MRH1331	bacteria
Rhizophagus	Rhizophagus	MRH1332	fungus
Rhizophagus irregularis	Rhizophagus irregularis	MRH1333	fungus
Acinetobacter towneri	Acinetobacter towneri	MRH1334	bacteria
Pseudomonas libanensis	Pseudomonas libanensis	MRH1335	bacteria
Corynebacterium sp. NML98-0116	Corynebacterium sp. NML98-0116	MRH1336	bacteria
Nocardia	Nocardia	MRH1337	bacteria
Hylemonella	Hylemonella	MRH1338	bacteria
Hylemonella gracilis	Hylemonella gracilis	MRH1339	bacteria
Fusarium graminearum	Fusarium graminearum	MRH1340	fungus
Fusarium culmorum	Fusarium culmorum	MRH1341	fungus
Fusarium venenatum	Fusarium venenatum	MRH1342	fungus
Fusarium coffeatum	Fusarium coffeatum	MRH1343	fungus
Wolinella	Wolinella	MRH1344	bacteria
Wolinella succinogenes	Wolinella succinogenes	MRH1345	bacteria
Pseudomonas sp. BJP69	Pseudomonas sp. BJP69	MRH1346	bacteria
Pseudomonas resinovorans	Pseudomonas resinovorans	MRH1347	bacteria
Ramularia collo-cygni	Ramularia collo-cygni	MRH1348	fungus
Raoultella terrigena	Raoultella terrigena	MRH1349	bacteria
Aspergillus fumigatus	Aspergillus fumigatus	MRH1350	fungus
Chryseobacterium bernardetii	Chryseobacterium bernardetii	MRH1351	bacteria
Paracoccus liaowanqingii	Paracoccus liaowanqingii	MRH1352	bacteria
Aquabacterium sp. PL1F5	Aquabacterium sp. PL1F5	MRH1353	bacteria
Aureobasidium subglaciale	Aureobasidium subglaciale	MRH1354	fungus
Armillaria	Armillaria	MRH1355	fungus
Armillaria ostoyae	Armillaria ostoyae	MRH1356	fungus
[Candida] auris	[Candida] auris	MRH1357	fungus
Saccharomycopsis	Saccharomycopsis	MRH1358	fungus
Saccharomycopsis fodiens	Saccharomycopsis fodiens	MRH1359	fungus
Phialocephala	Phialocephala	MRH1360	fungus
Agaricus	Agaricus	MRH1361	fungus
Agaricus bisporus	Agaricus bisporus	MRH1362	fungus
Bipolaris maydis	Bipolaris maydis	MRH1363	fungus
Exserohilum	Exserohilum	MRH1364	fungus
Exserohilum turcicum	Exserohilum turcicum	MRH1365	fungus
Rhizopus	Rhizopus	MRH1366	fungus
Rahnella sp. ERMR1:05	Rahnella sp. ERMR1:05	MRH1367	bacteria
Plasmopara	Plasmopara	MRH1368	other_eukaryota
Plasmopara halstedii	Plasmopara halstedii	MRH1369	other_eukaryota
Erwinia billingiae	Erwinia billingiae	MRH1370	bacteria
Levilactobacillus	Levilactobacillus	MRH1371	bacteria
Aspergillus pseudoglaucus	Aspergillus pseudoglaucus	MRH1372	fungus
Arsenophonus endosymbiont of Aphis craccivora	Arsenophonus endosymbiont of Aphis craccivora	MRH1373	bacteria
Apilactobacillus	Apilactobacillus	MRH1374	bacteria
Apilactobacillus kunkeei	Apilactobacillus kunkeei	MRH1375	bacteria
Zygosaccharomyces bisporus	Zygosaccharomyces bisporus	MRH1376	fungus
Bifidobacterium actinocoloniiforme	Bifidobacterium actinocoloniiforme	MRH1377	bacteria
Erwinia sp. QL-Z3	Erwinia sp. QL-Z3	MRH1378	bacteria
Serratia rubidaea	Serratia rubidaea	MRH1379	bacteria
Yersinia	Yersinia	MRH1380	bacteria
Cronobacter	Cronobacter	MRH1381	bacteria
Cronobacter sakazakii	Cronobacter sakazakii	MRH1382	bacteria
Erwinia persicina	Erwinia persicina	MRH1383	bacteria
Rouxiella badensis	Rouxiella badensis	MRH1384	bacteria
Enterobacteriaceae bacterium Kacie_13	Enterobacteriaceae bacterium Kacie_13	MRH1385	bacteria
Pseudomonas graminis	Pseudomonas graminis	MRH1386	bacteria
Candidatus Snodgrassella sp. TA1_30860	Candidatus Snodgrassella sp. TA1_30860	MRH1387	bacteria
Frischella perrara	Frischella perrara	MRH1388	bacteria
Lactobacillus helsingborgensis	Lactobacillus helsingborgensis	MRH1389	bacteria
Lactobacillus kullabergensis	Lactobacillus kullabergensis	MRH1390	bacteria
Lactobacillus sp. wkB8	Lactobacillus sp. wkB8	MRH1391	bacteria
Commensalibacter	Commensalibacter	MRH1392	bacteria
Commensalibacter sp. AMU001	Commensalibacter sp. AMU001	MRH1393	bacteria
Commensalibacter sp. ESL0284	Commensalibacter sp. ESL0284	MRH1394	bacteria
Orbus	Orbus	MRH1395	bacteria
Bartonella	Bartonella	MRH1396	bacteria
Bartonella apis	Bartonella apis	MRH1397	bacteria
Sodalis	Sodalis	MRH1398	bacteria
Sodalis praecaptivus	Sodalis praecaptivus	MRH1399	bacteria
Candidatus Sodalis pierantonius	Candidatus Sodalis pierantonius	MRH1400	bacteria
Wolbachia pipientis	Wolbachia pipientis	MRH1401	bacteria
Wolbachia endosymbiont of Diaphorina citri	Wolbachia endosymbiont of Diaphorina citri	MRH1402	bacteria
Leuconostoc pseudomesenteroides	Leuconostoc pseudomesenteroides	MRH1403	bacteria
Plautia stali symbiont	Plautia stali symbiont	MRH1404	bacteria
Spiroplasma	Spiroplasma	MRH1405	bacteria
Spiroplasma apis	Spiroplasma apis	MRH1406	bacteria
Spiroplasma melliferum	Spiroplasma melliferum	MRH1407	bacteria
Spiroplasma citri	Spiroplasma citri	MRH1408	bacteria
Leishmania mexicana	Leishmania mexicana	MRH1409	other_eukaryota
Leishmania infantum	Leishmania infantum	MRH1410	other_eukaryota
Crithidia mellificae	Crithidia mellificae	MRH1411	other_eukaryota
Lotmaria	Lotmaria	MRH1412	other_eukaryota
Lotmaria passim	Lotmaria passim	MRH1413	other_eukaryota
Angomonas	Angomonas	MRH1414	other_eukaryota
Angomonas deanei	Angomonas deanei	MRH1415	other_eukaryota
Spiroplasma phoeniceum	Spiroplasma phoeniceum	MRH1416	bacteria
Spiroplasma kunkelii	Spiroplasma kunkelii	MRH1417	bacteria
Spiroplasma clarkii	Spiroplasma clarkii	MRH1418	bacteria
Providencia rettgeri	Providencia rettgeri	MRH1419	bacteria
Carnimonas	Carnimonas	MRH1420	bacteria
Carnimonas nigrificans	Carnimonas nigrificans	MRH1421	bacteria
Morganella	Morganella	MRH1422	bacteria
Morganella morganii	Morganella morganii	MRH1423	bacteria
Wolbachia endosymbiont of Drosophila simulans	Wolbachia endosymbiont of Drosophila simulans	MRH1424	bacteria
Wolbachia endosymbiont of Drosophila incompta	Wolbachia endosymbiont of Drosophila incompta	MRH1425	bacteria
Wolbachia endosymbiont of Xylosandrus germanus	Wolbachia endosymbiont of Xylosandrus germanus	MRH1426	bacteria
Leishmania braziliensis	Leishmania braziliensis	MRH1427	other_eukaryota
Providencia stuartii	Providencia stuartii	MRH1428	bacteria
Wolbachia endosymbiont of Culex quinquefasciatus	Wolbachia endosymbiont of Culex quinquefasciatus	MRH1429	bacteria
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ	Wolbachia endosymbiont of Ctenocephalides felis wCfeJ	MRH1430	bacteria
Latilactobacillus	Latilactobacillus	MRH1431	bacteria
Latilactobacillus curvatus	Latilactobacillus curvatus	MRH1432	bacteria
Latilactobacillus sakei	Latilactobacillus sakei	MRH1433	bacteria
Polaromonas	Polaromonas	MRH1434	bacteria
Rosenbergiella	Rosenbergiella	MRH1435	bacteria
Rosenbergiella nectarea	Rosenbergiella nectarea	MRH1436	bacteria
Leuconostoc mesenteroides	Leuconostoc mesenteroides	MRH1437	bacteria
Aerococcus viridans	Aerococcus viridans	MRH1438	bacteria
Pseudoclavibacter	Pseudoclavibacter	MRH1439	bacteria
Leptomonas cf. pyrrhocoris	Leptomonas cf. pyrrhocoris	MRH1440	other_eukaryota
Wolbachia endosymbiont of Carposina sasakii	Wolbachia endosymbiont of Carposina sasakii	MRH1441	bacteria
Wolbachia endosymbiont of Drosophila ananassae	Wolbachia endosymbiont of Drosophila ananassae	MRH1442	bacteria
Weissella hellenica	Weissella hellenica	MRH1443	bacteria
Weissella paramesenteroides	Weissella paramesenteroides	MRH1444	bacteria
Bifidobacterium indicum	Bifidobacterium indicum	MRH1445	bacteria
Bifidobacterium coryneforme	Bifidobacterium coryneforme	MRH1446	bacteria
Aspergillus mulundensis	Aspergillus mulundensis	MRH1447	fungus
Paracoccidioides brasiliensis	Paracoccidioides brasiliensis	MRH1448	fungus
Alteromonas	Alteromonas	MRH1449	bacteria
Alteromonas macleodii	Alteromonas macleodii	MRH1450	bacteria
Baudoinia	Baudoinia	MRH1451	fungus
Baudoinia panamericana	Baudoinia panamericana	MRH1452	fungus
Corynebacterium efficiens	Corynebacterium efficiens	MRH1453	bacteria
Leuconostoc suionicum	Leuconostoc suionicum	MRH1454	bacteria
Lonsdalea	Lonsdalea	MRH1455	bacteria
Lonsdalea britannica	Lonsdalea britannica	MRH1456	bacteria
Lonsdalea populi	Lonsdalea populi	MRH1457	bacteria
Lonsdalea quercina	Lonsdalea quercina	MRH1458	bacteria
Pectobacterium parmentieri	Pectobacterium parmentieri	MRH1459	bacteria
Pectobacterium versatile	Pectobacterium versatile	MRH1460	bacteria
Pectobacterium carotovorum	Pectobacterium carotovorum	MRH1461	bacteria
Weissella thailandensis	Weissella thailandensis	MRH1462	bacteria
Dickeya fangzhongdai	Dickeya fangzhongdai	MRH1463	bacteria
Dickeya chrysanthemi	Dickeya chrysanthemi	MRH1464	bacteria
Brenneria goodwinii	Brenneria goodwinii	MRH1465	bacteria
Gibbsiella	Gibbsiella	MRH1466	bacteria
Gibbsiella quercinecans	Gibbsiella quercinecans	MRH1467	bacteria
Yersinia enterocolitica	Yersinia enterocolitica	MRH1468	bacteria
Erwinia amylovora	Erwinia amylovora	MRH1469	bacteria
Gluconobacter oxydans	Gluconobacter oxydans	MRH1470	bacteria
Tilletiopsis	Tilletiopsis	MRH1471	fungus
Tilletiopsis washingtonensis	Tilletiopsis washingtonensis	MRH1472	fungus
Legionella	Legionella	MRH1473	bacteria
Sodalis glossinidius	Sodalis glossinidius	MRH1474	bacteria
Puccinia striiformis	Puccinia striiformis	MRH1475	fungus
Saprochaete	Saprochaete	MRH1476	fungus
Saprochaete ingens	Saprochaete ingens	MRH1477	fungus
Chryseobacterium taihuense	Chryseobacterium taihuense	MRH1478	bacteria
Herbaspirillum frisingense	Herbaspirillum frisingense	MRH1479	bacteria
Nosema apis	Nosema apis	MRH1480	fungus
Crithidia thermophila	Crithidia thermophila	MRH1481	other_eukaryota
Rhodotorula	Rhodotorula	MRH1482	fungus
Cladosporium sp.	Cladosporium sp.	MRH1483	fungus
Paraphaeosphaeria sporulosa	Paraphaeosphaeria sporulosa	MRH1484	fungus
Mucor	Mucor	MRH1485	fungus
Pyrenophora	Pyrenophora	MRH1486	fungus
Glarea	Glarea	MRH1487	fungus
Glarea lozoyensis	Glarea lozoyensis	MRH1488	fungus
Pseudocercospora fijiensis	Pseudocercospora fijiensis	MRH1489	fungus
Rhodotorula graminis	Rhodotorula graminis	MRH1490	fungus
Nosema bombi	Nosema bombi	MRH1491	fungus
Gammaproteobacteria bacterium ESL0073	Gammaproteobacteria bacterium ESL0073	MRH1492	bacteria
Metschnikowia gruessii	Metschnikowia gruessii	MRH1493	fungus
Cryptococcus gattii VGI	Cryptococcus gattii VGI	MRH1494	fungus
Fructobacillus	Fructobacillus	MRH1495	bacteria
Fusarium fujikuroi	Fusarium fujikuroi	MRH1496	fungus
Pseudomonas sp. KU43P	Pseudomonas sp. KU43P	MRH1497	bacteria
Pseudomonas mosselii	Pseudomonas mosselii	MRH1498	bacteria
Debaryomyces maramus	Debaryomyces maramus	MRH1499	fungus
Verticillium dahliae	Verticillium dahliae	MRH1500	fungus
Aspergillus thermomutatus	Aspergillus thermomutatus	MRH1501	fungus
Aspergillus fischeri	Aspergillus fischeri	MRH1502	fungus
Aspergillus tanneri	Aspergillus tanneri	MRH1503	fungus
Aspergillus clavatus	Aspergillus clavatus	MRH1504	fungus
Limosilactobacillus	Limosilactobacillus	MRH1505	bacteria
[Candida] pseudohaemulonis	[Candida] pseudohaemulonis	MRH1506	fungus
[Candida] duobushaemulonis	[Candida] duobushaemulonis	MRH1507	fungus
Botrytis fabae	Botrytis fabae	MRH1508	fungus
Phocaeicola dorei	Phocaeicola dorei	MRH1509	bacteria
Pneumocystis jirovecii	Pneumocystis jirovecii	MRH1510	fungus
Wolbachia endosymbiont of Cimex lectularius	Wolbachia endosymbiont of Cimex lectularius	MRH1511	bacteria
Komagataella phaffii	Komagataella phaffii	MRH1512	fungus
Phycomyces	Phycomyces	MRH1513	fungus
Phycomyces blakesleeanus	Phycomyces blakesleeanus	MRH1514	fungus
Cedecea sp. FDAARGOS_727	Cedecea sp. FDAARGOS_727	MRH1515	bacteria
Euglena	Euglena	MRH1516	other_eukaryota
Euglena gracilis	Euglena gracilis	MRH1517	other_eukaryota
Endocarpon	Endocarpon	MRH1518	fungus
Endocarpon pusillum	Endocarpon pusillum	MRH1519	fungus
Lachnospira	Lachnospira	MRH1520	bacteria
Lachnospira eligens	Lachnospira eligens	MRH1521	bacteria
Purpureocillium	Purpureocillium	MRH1522	fungus
Purpureocillium lilacinum	Purpureocillium lilacinum	MRH1523	fungus
Cordyceps militaris	Cordyceps militaris	MRH1524	fungus
Lachnellula	Lachnellula	MRH1525	fungus
Sporobolomyces	Sporobolomyces	MRH1526	fungus
Sporobolomyces roseus	Sporobolomyces roseus	MRH1527	fungus
Coprococcus	Coprococcus	MRH1528	bacteria
Sodiomyces	Sodiomyces	MRH1529	fungus
Sodiomyces alkalinus	Sodiomyces alkalinus	MRH1530	fungus
Paratrypanosoma	Paratrypanosoma	MRH1531	other_eukaryota
Paratrypanosoma confusum	Paratrypanosoma confusum	MRH1532	other_eukaryota
Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	MRH1533	bacteria
Bacteroides fragilis	Bacteroides fragilis	MRH1534	bacteria
Bacteroides xylanisolvens	Bacteroides xylanisolvens	MRH1535	bacteria
Bacteroides intestinalis	Bacteroides intestinalis	MRH1536	bacteria
[Eubacterium] rectale	[Eubacterium] rectale	MRH1537	bacteria
Lachnospiraceae bacterium	Lachnospiraceae bacterium	MRH1538	bacteria
Phascolarctobacterium	Phascolarctobacterium	MRH1539	bacteria
Phascolarctobacterium faecium	Phascolarctobacterium faecium	MRH1540	bacteria
Ophiocordyceps	Ophiocordyceps	MRH1541	fungus
Roseburia intestinalis	Roseburia intestinalis	MRH1542	bacteria
Alistipes onderdonkii	Alistipes onderdonkii	MRH1543	bacteria
Neurospora tetrasperma	Neurospora tetrasperma	MRH1544	fungus
Ruminococcus	Ruminococcus	MRH1545	bacteria
Ruminococcus bicirculans	Ruminococcus bicirculans	MRH1546	bacteria
Parabacteroides	Parabacteroides	MRH1547	bacteria
Parabacteroides distasonis	Parabacteroides distasonis	MRH1548	bacteria
Clostridioides	Clostridioides	MRH1549	bacteria
Clostridioides difficile	Clostridioides difficile	MRH1550	bacteria
Enterobacter sp. 638	Enterobacter sp. 638	MRH1551	bacteria
Gilliamella bombicola	Gilliamella bombicola	MRH1552	bacteria
Pseudomonas plecoglossicida	Pseudomonas plecoglossicida	MRH1553	bacteria
Filobasidium	Filobasidium	MRH1554	fungus
Bifidobacterium longum	Bifidobacterium longum	MRH1555	bacteria
Bifidobacterium bombi	Bifidobacterium bombi	MRH1556	bacteria
Rhodoluna	Rhodoluna	MRH1557	bacteria
Erwinia tasmaniensis	Erwinia tasmaniensis	MRH1558	bacteria
Cladophialophora immunda	Cladophialophora immunda	MRH1559	fungus
Polynucleobacter	Polynucleobacter	MRH1560	bacteria
Capronia	Capronia	MRH1561	fungus
Capronia coronata	Capronia coronata	MRH1562	fungus
Meira	Meira	MRH1563	fungus
Meira miltonrushii	Meira miltonrushii	MRH1564	fungus
Arsenophonus endosymbiont of Bemisia tabaci	Arsenophonus endosymbiont of Bemisia tabaci	MRH1565	bacteria
Lentilactobacillus	Lentilactobacillus	MRH1566	bacteria
Apibacter raozihei	Apibacter raozihei	MRH1567	bacteria
Aureobasidium melanogenum	Aureobasidium melanogenum	MRH1568	fungus
Cryptococcus amylolentus	Cryptococcus amylolentus	MRH1569	fungus
Trichoderma harzianum	Trichoderma harzianum	MRH1570	fungus
Entomomonas	Entomomonas	MRH1571	bacteria
Entomomonas moraniae	Entomomonas moraniae	MRH1572	bacteria
Phocaeicola	Phocaeicola	MRH1573	bacteria
Phocaeicola vulgatus	Phocaeicola vulgatus	MRH1574	bacteria
Hafnia paralvei	Hafnia paralvei	MRH1575	bacteria
Puccinia graminis	Puccinia graminis	MRH1576	fungus
Dichomitus	Dichomitus	MRH1577	fungus
Dichomitus squalens	Dichomitus squalens	MRH1578	fungus
Paracoccidioides	Paracoccidioides	MRH1579	fungus
Alistipes communis	Alistipes communis	MRH1580	bacteria
Glaesserella	Glaesserella	MRH1581	bacteria
Glaesserella parasuis	Glaesserella parasuis	MRH1582	bacteria
Cohnella	Cohnella	MRH1583	bacteria
Kluyvera intermedia	Kluyvera intermedia	MRH1584	bacteria
[Eubacterium] siraeum	[Eubacterium] siraeum	MRH1585	bacteria
Mediterraneibacter	Mediterraneibacter	MRH1586	bacteria
Prevotella copri	Prevotella copri	MRH1587	bacteria
Priestia	Priestia	MRH1588	bacteria
Priestia megaterium	Priestia megaterium	MRH1589	bacteria
Flavobacterium columnare	Flavobacterium columnare	MRH1590	bacteria
Eikenella corrodens	Eikenella corrodens	MRH1591	bacteria
Akkermansia	Akkermansia	MRH1592	bacteria
Akkermansia muciniphila	Akkermansia muciniphila	MRH1593	bacteria
Metschnikowia rancensis	Metschnikowia rancensis	MRH1594	fungus
Pleurotus ostreatus	Pleurotus ostreatus	MRH1595	fungus
Cladosporium sphaerospermum	Cladosporium sphaerospermum	MRH1596	fungus
Fructobacillus tropaeoli	Fructobacillus tropaeoli	MRH1597	bacteria
Bacillus velezensis	Bacillus velezensis	MRH1598	bacteria
Pseudomonas sp. R5-89-07	Pseudomonas sp. R5-89-07	MRH1599	bacteria
Pseudomonas koreensis	Pseudomonas koreensis	MRH1600	bacteria
Carnobacterium divergens	Carnobacterium divergens	MRH1601	bacteria
Edwardsiella	Edwardsiella	MRH1602	bacteria
Polynucleobacter asymbioticus	Polynucleobacter asymbioticus	MRH1603	bacteria
Pochonia	Pochonia	MRH1604	fungus
Pochonia chlamydosporia	Pochonia chlamydosporia	MRH1605	fungus
Arsenophonus nasoniae	Arsenophonus nasoniae	MRH1606	bacteria
Euglena agilis	Euglena agilis	MRH1607	other_eukaryota
Metschnikowia australis	Metschnikowia australis	MRH1608	fungus
Apibacter adventoris	Apibacter adventoris	MRH1609	bacteria
Aspergillus felis	Aspergillus felis	MRH1610	fungus
Aspergillus sclerotioniger	Aspergillus sclerotioniger	MRH1611	fungus
Serratia ureilytica	Serratia ureilytica	MRH1612	bacteria
Serratia symbiotica	Serratia symbiotica	MRH1613	bacteria
Colletotrichum higginsianum	Colletotrichum higginsianum	MRH1614	fungus
Secundilactobacillus	Secundilactobacillus	MRH1615	bacteria
Orbus sp. IPMB12	Zophobihabitans entericus	MRH1616	bacteria
Bacteroides caccae	Bacteroides caccae	MRH1617	bacteria
Pseudogymnoascus verrucosus	Pseudogymnoascus verrucosus	MRH1618	fungus
Coccidioides posadasii	Coccidioides posadasii	MRH1619	fungus
Letharia columbiana	Letharia columbiana	MRH1620	fungus
Paraprevotella	Paraprevotella	MRH1621	bacteria
Roseburia	Roseburia	MRH1622	bacteria
Roseburia inulinivorans	Roseburia inulinivorans	MRH1623	bacteria
Candidatus Arsenophonus triatominarum	Candidatus Arsenophonus triatominarum	MRH1624	bacteria
Lactobacillus bombintestini	Apilactobacillus bombintestini	MRH1625	bacteria
Strigomonas oncopelti	Strigomonas oncopelti	MRH1626	other_eukaryota
Saccharibacter	Saccharibacter	MRH1627	bacteria
Saccharibacter floricola	Saccharibacter floricola	MRH1628	bacteria
Chaetomium globosum	Chaetomium globosum	MRH1629	fungus
Westerdykella	Westerdykella	MRH1630	fungus
Westerdykella ornata	Westerdykella ornata	MRH1631	fungus
Leptosphaeria	Leptosphaeria	MRH1632	fungus
Leptosphaeria maculans	Leptosphaeria maculans	MRH1633	fungus
Legionella pneumophila	Legionella pneumophila	MRH1634	bacteria
Halobacteriovorax	Halobacteriovorax	MRH1635	bacteria
Acinetobacter boissieri	Acinetobacter boissieri	MRH1636	bacteria
Paucibacter	Paucibacter	MRH1637	bacteria
Paucibacter sp. KCTC 42545	Paucibacter sp. KCTC 42545	MRH1638	bacteria
Lichtheimia	Lichtheimia	MRH1639	fungus
Leptomonas	Leptomonas	MRH1640	other_eukaryota
Leptomonas pyrrhocoris	Leptomonas pyrrhocoris	MRH1641	other_eukaryota
Clostridium tetani	Clostridium tetani	MRH1642	bacteria
Leptomonas podlipaevi	Leptomonas podlipaevi	MRH1643	other_eukaryota
Leishmania major	Leishmania major	MRH1644	other_eukaryota
Apibacter mensalis	Apibacter mensalis	MRH1645	bacteria
Listeria monocytogenes	Listeria monocytogenes	MRH1646	bacteria
Trypanosoma grayi	Trypanosoma grayi	MRH1647	other_eukaryota
Lodderomyces	Lodderomyces	MRH1648	fungus
Lodderomyces elongisporus	Lodderomyces elongisporus	MRH1649	fungus
Streptomyces parvulus	Streptomyces parvulus	MRH1650	bacteria
Corynebacterium simulans	Corynebacterium simulans	MRH1651	bacteria
Corynebacterium glaucum	Corynebacterium glaucum	MRH1652	bacteria
Kluyveromyces marxianus	Kluyveromyces marxianus	MRH1653	fungus
Dermabacter	Dermabacter	MRH1654	bacteria
Lichtheimia ramosa	Lichtheimia ramosa	MRH1655	fungus
Paracoccus contaminans	Paracoccus contaminans	MRH1656	bacteria
Leishmania amazonensis	Leishmania amazonensis	MRH1657	other_eukaryota
Leishmania enriettii	Leishmania enriettii	MRH1658	other_eukaryota
Herpetomonas	Herpetomonas	MRH1659	other_eukaryota
Pandoraea	Pandoraea	MRH1660	bacteria
Corynebacterium diphtheriae	Corynebacterium diphtheriae	MRH1661	bacteria
Oerskovia	Oerskovia	MRH1662	bacteria
Streptomyces albidoflavus	Streptomyces albidoflavus	MRH1663	bacteria
Sphingopyxis sp. OPL5	Sphingopyxis sp. OPL5	MRH1664	bacteria
Sphingopyxis sp. EG6	Sphingopyxis sp. EG6	MRH1665	bacteria
Sphingopyxis terrae	Sphingopyxis terrae	MRH1666	bacteria
Sphingopyxis sp. MG	Sphingopyxis sp. MG	MRH1667	bacteria
Sphingopyxis sp. QXT-31	Sphingopyxis sp. QXT-31	MRH1668	bacteria
Sphingopyxis sp. PAMC25046	Sphingopyxis sp. PAMC25046	MRH1669	bacteria
Lacibacter	Lacibacter	MRH1670	bacteria
Leptospira	Leptospira	MRH1671	bacteria
Filimonas	Filimonas	MRH1672	bacteria
Arcobacter	Arcobacter	MRH1673	bacteria
Arcobacter cryaerophilus	Aliarcobacter cryaerophilus	MRH1674	bacteria
Sphingomonas sp. IC081	Sphingomonas sp. IC081	MRH1675	bacteria
Lactococcus sp. KACC 19320	Lactococcus protaetiae	MRH1676	bacteria
Sphaerotilus	Sphaerotilus	MRH1677	bacteria
Strigomonas	Strigomonas	MRH1678	other_eukaryota
Pleurotus	Pleurotus	MRH1679	fungus
Cryptosporidium	Cryptosporidium	MRH1680	other_eukaryota
Crithidia bombi	Crithidia bombi	MRH1681	other_eukaryota
Herpetomonas muscarum	Herpetomonas muscarum	MRH1682	other_eukaryota
Chromobacterium	Chromobacterium	MRH1683	bacteria
Cercospora beticola	Cercospora beticola	MRH1684	fungus
Pseudomonas sp. XWY-1	Pseudomonas sp. XWY-1	MRH1685	bacteria
Pseudomonas parafulva	Pseudomonas parafulva	MRH1686	bacteria
Moniliella	Moniliella	MRH1687	fungus
Moniliella nigrescens	Moniliella nigrescens	MRH1688	fungus
Moniliella megachiliensis	Moniliella megachiliensis	MRH1689	fungus
Chryseobacterium cucumeris	Chryseobacterium cucumeris	MRH1690	bacteria
Arthrobacter sp. 24S4-2	Arthrobacter sp. 24S4-2	MRH1691	bacteria
Chryseobacterium sp. JV274	Chryseobacterium sp. JV274	MRH1692	bacteria
Lactobacillus mucosae	Limosilactobacillus mucosae	MRH1693	bacteria
Pseudarthrobacter	Pseudarthrobacter	MRH1694	bacteria
Chryseobacterium aureum	Chryseobacterium aureum	MRH1695	bacteria
Chryseobacterium joostei	Chryseobacterium joostei	MRH1696	bacteria
Chryseobacterium sp. G0186	Chryseobacterium sp. G0186	MRH1697	bacteria
Chryseobacterium sp. G0162	Chryseobacterium sp. G0162	MRH1698	bacteria
Chryseobacterium arthrosphaerae	Chryseobacterium arthrosphaerae	MRH1699	bacteria
Chryseobacterium sp. StRB126	Chryseobacterium sp. StRB126	MRH1700	bacteria
Chryseobacterium nakagawai	Chryseobacterium nakagawai	MRH1701	bacteria
Chryseobacterium gallinarum	Chryseobacterium gallinarum	MRH1702	bacteria
Chryseobacterium lactis	Chryseobacterium lactis	MRH1703	bacteria
Pseudomonas sp. URMO17WK12:I11	Pseudomonas sp. URMO17WK12:I11	MRH1704	bacteria
Rhodoluna lacicola	Rhodoluna lacicola	MRH1705	bacteria
beta proteobacterium CB	beta proteobacterium CB	MRH1706	bacteria
Polynucleobacter duraquae	Polynucleobacter duraquae	MRH1707	bacteria
Polynucleobacter necessarius	Polynucleobacter necessarius	MRH1708	bacteria
Paenibacillus mucilaginosus	Paenibacillus mucilaginosus	MRH1709	bacteria
Alcaligenes aquatilis	Alcaligenes aquatilis	MRH1710	bacteria
Lactobacillus melliventris	Lactobacillus melliventris	MRH1711	bacteria
Pseudomonas versuta	Pseudomonas versuta	MRH1712	bacteria
Pseudomonas taetrolens	Pseudomonas taetrolens	MRH1713	bacteria
Lactobacillus kimbladii	Lactobacillus kimbladii	MRH1714	bacteria
Serratia nematodiphila	Serratia nematodiphila	MRH1715	bacteria
