MicroHit	TaxHit	HitID	Class
Clostridium perfringens	Clostridium perfringens	MRH680	bacteria
Suhomyces	Suhomyces	MRH681	fungus
Suhomyces tanzawaensis	Suhomyces tanzawaensis	MRH682	fungus
Malassezia sympodialis	Malassezia sympodialis	MRH683	fungus
Rothia kristinae	Rothia kristinae	MRH684	bacteria
Brevibacterium casei	Brevibacterium casei	MRH685	bacteria
Brevibacterium luteolum	Brevibacterium luteolum	MRH686	bacteria
Fusobacterium pseudoperiodonticum	Fusobacterium pseudoperiodonticum	MRH687	bacteria
Mucilaginibacter	Mucilaginibacter	MRH688	bacteria
Bradyrhizobium sp. CCBAU 21365	Bradyrhizobium sp. CCBAU 21365	MRH689	bacteria
Bradyrhizobium vignae	Bradyrhizobium vignae	MRH690	bacteria
Bradyrhizobium sp.	Bradyrhizobium sp.	MRH691	bacteria
Bradyrhizobium cosmicum	Bradyrhizobium cosmicum	MRH692	bacteria
Bradyrhizobium diazoefficiens	Bradyrhizobium diazoefficiens	MRH693	bacteria
Lautropia mirabilis	Lautropia mirabilis	MRH694	bacteria
Pseudoalteromonas	Pseudoalteromonas	MRH695	bacteria
Paraphaeosphaeria	Paraphaeosphaeria	MRH696	fungus
Bacillus cereus	Bacillus cereus	MRH697	bacteria
Paenarthrobacter	Paenarthrobacter	MRH698	bacteria
Nocardioides anomalus	Nocardioides anomalus	MRH699	bacteria
Rathayibacter	Rathayibacter	MRH700	bacteria
Megasphaera	Megasphaera	MRH701	bacteria
Bacteroides	Bacteroides	MRH702	bacteria
Bacteroides ovatus	Bacteroides ovatus	MRH703	bacteria
Pedobacter	Pedobacter	MRH704	bacteria
Delftia lacustris	Delftia lacustris	MRH705	bacteria
Curtobacterium	Curtobacterium	MRH706	bacteria
Serratia marcescens	Serratia marcescens	MRH707	bacteria
Microbacterium sediminis	Microbacterium sediminis	MRH708	bacteria
Microbacterium oxydans	Microbacterium oxydans	MRH709	bacteria
Microbacterium aurum	Microbacterium aurum	MRH710	bacteria
Xanthomonas oryzae	Xanthomonas oryzae	MRH711	bacteria
Novosphingobium resinovorum	Novosphingobium resinovorum	MRH712	bacteria
Tessaracoccus	Tessaracoccus	MRH713	bacteria
Mycolicibacterium vaccae	Mycolicibacterium vaccae	MRH714	bacteria
Enterococcus cecorum	Enterococcus cecorum	MRH715	bacteria
Brachybacterium faecium	Brachybacterium faecium	MRH716	bacteria
Aureimonas	Aureimonas	MRH717	bacteria
Aureimonas altamirensis	Aureimonas altamirensis	MRH718	bacteria
Weissella	Weissella	MRH719	bacteria
Mycobacterium gordonae	Mycobacterium gordonae	MRH720	bacteria
Sphingosinicella	Sphingosinicella	MRH721	bacteria
Phenylobacterium	Phenylobacterium	MRH722	bacteria
Friedmanniella	Friedmanniella	MRH723	bacteria
Nitrosomonas sp. Is79A3	Nitrosomonas sp. Is79A3	MRH724	bacteria
Chelatococcus	Chelatococcus	MRH725	bacteria
Tardiphaga robiniae	Tardiphaga robiniae	MRH726	bacteria
Streptococcus sp. I-P16	Streptococcus ilei	MRH727	bacteria
Agrobacterium rhizogenes	Agrobacterium rhizogenes	MRH728	bacteria
Rhodococcus rhodochrous	Rhodococcus rhodochrous	MRH729	bacteria
Rhodococcus qingshengii	Rhodococcus qingshengii	MRH730	bacteria
Aeromonas salmonicida	Aeromonas salmonicida	MRH731	bacteria
Lactobacillus johnsonii	Lactobacillus johnsonii	MRH732	bacteria
Chroococcidiopsis	Chroococcidiopsis	MRH733	bacteria
Corynebacterium bovis	Corynebacterium bovis	MRH734	bacteria
Corynebacterium amycolatum	Corynebacterium amycolatum	MRH735	bacteria
Corynebacterium riegelii	Corynebacterium riegelii	MRH736	bacteria
Corynebacterium pseudotuberculosis	Corynebacterium pseudotuberculosis	MRH737	bacteria
Acinetobacter sp. FDAARGOS_724	Acinetobacter sp. FDAARGOS_724	MRH738	bacteria
Acinetobacter sp. WCHA55	Acinetobacter sp. WCHA55	MRH739	bacteria
Janibacter melonis	Janibacter melonis	MRH740	bacteria
Janibacter limosus	Janibacter limosus	MRH741	bacteria
Paracoccus sp. AK26	Paracoccus sp. AK26	MRH742	bacteria
Paracoccus marinus	Paracoccus marinus	MRH743	bacteria
Paracoccus pantotrophus	Paracoccus pantotrophus	MRH744	bacteria
Paracoccus aminovorans	Paracoccus aminovorans	MRH745	bacteria
Paracoccus sp. Arc7-R13	Paracoccus sp. Arc7-R13	MRH746	bacteria
Puccinia	Puccinia	MRH747	fungus
