Genus,Species,Classification
Melipona,Bee,Insect
Melissodes,Bee,Insect
Melitta,Bee,Insect
Meloe,Beetle,Insect
Messor,Bee,Insect
Microplitis,Wasp,Insect
Monomorium,Ant,Insect
Musca,Fly,Insect
Myopa,Fly,Insect
Mythimna,Moth,Insect
Myzus,TrueBug,Insect
Nasonia,Wasp,Insect
Neodiprion,Sawfly,Insect
Neotermes,Termite,Insect
Nephila,Spider,Annelid
Nomada,Bee,Insect
Nomia,Bee,Insect
Nylanderia,Ant,Insect
Odontomachus,Ant,Insect
Onthophagus,Beetle,Insect
Ooceraea,Ant,Insect
Operophtera,Moth,Insect
Orthetrum,Dragonfly,Insect
Orthoperus,Beetle,Insect
Orussus,Wasp,Insect
Osmia,Bee,Insect
Ostrinia,Moth,Insect
Oxydesmus,Millipede,Myriapod
Pantala,Dragonfly,Insect
Papilio,Butterfly,Insect
Parasteatoda,Spider,Arachnid
Partamona,Bee,Insect
Patellapis,Bee,Insect
Periplaneta,Cockroach,Insect
Philanthus,Wasp,Insect
Philotrypesis,Wasp,Insect
Phoridae,Fly,Insect
Photinus,Firefly,Insect
Physocephala,Fly,Insect
Pieris,Butterfly,Insect
Piophila,Fly,Insect
Plebeia,Bee,Insect
Plutella,Moth,Insect
Pogonomyrmex,Ant,Insect
Pogonus,Beetle,Insect
Polistes,Wasp,Insect
Polypedilum,Midge,Insect
Polyrhachis,Ant,Insect
Prorhinotermes,Termite,Insect
Prosarthria,StickInsect,Insect
Pseudomyrmex,Ant,Insect
Rhagoletis,Fly,Insect
Rhopalosiphum,Aphid,Insect
Rhynchophorus,Weevil,Insect
Riptortus,Bug,Insect
Rondaniooestrus,Fly,Insect
Sarcophaga,Fly,Insect
Scaptodrosophila,Fly,Insect
Scaptomyza,Fly,Insect
Scaptotrigona,Bee,Insect
Seladonia,Bee,Insect
Sesamia,Moth,Insect
Sicus,Fly,Insect
Sipha,TrueBug,Insect
Sitodiplosis,Fly,Insect
Sitophilus,Weevil,Insect
Solenopsis,Ant,Insect
Sphecodes,Bee,Insect
Spiralizoros,Zorapteran,Insect
Spodoptera,Moth,Insect
Stegana,Fly,Insect
Stegodyphus,Spider,Arachnid
Stenopsyche,Caddisfly,Insect
Stomoxys,Fly,Insect
Strongygaster,Fly,Insect
Suillia,Fly,Insect
Syrphus,Hoverfly,Insect
Tapinoma,Ant,Insect
Teleopsis,Fly,Insect
Temnothorax,Ant,Insect
Tetragonisca,Bee,Insect
Tetragonula,Bee,Insect
Tetraponera,Ant,Insect
Timema,StickInsect,Insect
Thecophora,Fly,Insect
Thitarodes,Moth,Insect
Thrips,Thrip,Insect
Thyreus,Bee,Insect
Trachymyrmex,Ant,Insect
Triatoma,AssassinBug,Insect
Tribolium,Beetle,Insect
Trichogramma,Wasp,Insect
Trichoplusia,Moth,Insect
Triepeolus,Bee,Insect
Trigomphus,Dragonfly,Insect
Trigona,Bee,Insect
Vanessa,Butterfly,Insect
Vespa,Wasp,Insect
Vespula,Wasp,Insect
Vollenhovia,Ant,Insect
Wasmannia,Ant,Insect
Wasmannia,Ant,Insect
Xylocopa,Bee,Insect
Zerene,Butterfly,Insect
Zeugodacus,Fruitfly,Insect
Zodion,Fly,Insect
Zootermopsis,Termite,Insect
Rubus,Berry,Plant
Abrus,Pea,Plant
Acacia,Acacia,Plant
Acer,Maple,Plant
Aconitum,FloweringPlant,Plant
Actinidia,Shrub,Plant
Aegilops,GoatGrass,Plant
Albuca,FloweringPlant,Plant
Alhagi,Camelthorns,Plant
Allium,FloweringPlant,Plant
Amborella,FloweringShrub,Plant
Ambrosia,Ragweeds,Plant
Amelanchier,JuneBerry,Plant
Ananas,Pineapple,Plant
Anemone,FloweringPlants,Plant
Apium,FloweringPlant,Plant
Aquilegia,FloweringPlant,Plant
Arabidopsis,SmallFlowering,Plant
Arabis,FloweringPlant,Plant
Arachis,FloweringPlantsSAMERICA,Plant
Artemisia,Mugwort,Plant
Asparagus,Asparagus,Plant
Astragalus,FloweringHerbsShrubs,Plant
Azadirachta,Tree,Plant
Beta,FloweringPlants,Plant
Betula,Birch,Plant
Brassica,CabbageBroccoli,Plant
Bixa,FloweringPlant,Plant
Borago,Herb,Plant
Brachypodium,Grass,Plant
Buglossoides,FloweringHerb,Plant
Cajanus,Plants,Plant
Camelina,FloweringPlant,Plant
Camellia,Flowers,Plant
Camptotheca,Tree,Plant
Cannabis,Cannabis,Plant
Capsella,FloweringPlant,Plant
Capsicum,Chillis,Plant
Caragana,Floweringplant,Plant
Carica,FloweringPlant,Plant
Castanea,ChestnutTree,Plant
Catalpa,FloweringPlant,Plant
Catharanthus,PeriwinkleFlowers,Plant
Centranthera,FloweringPlant,Plant
Cercis,FloweringPlant,Plant
Chaenomeles,FloweringShrub,Plant
Chenopodium,FloweringHerb,Plant
Chrysanthemum,FloweringPlant,Plant
Cicer,Chickpea,Plant
Cinnamomum,CinnamonTrees,Plant
Citrullus,Watermelon,Plant
Citrus,Orange,Plant
Cocos,CoconutTree,Plant
Coix,Grass,Plant
Coffea,Coffee,Plant
Consolida,FloweringPlant,Plant
Coptis,FloweringPlant,Plant
Corchorus,FloweringPlant,Plant
Corylus,HazelTree,Plant
Corymbia,Trees,Plant
Cotoneaster,FloweringPlants,Plant
Crambe,FloweringPlants,Plant
Crataegus,HawthornTree,Plant
Cucumis,Cucumber,Plant
Cucurbita,Squash/Pumpkin,Plant
Cynara,ArtichokeThistle,Plant
Daucus,Carrot,Plant
Dendrobium,Orchids,Plant
Digitalis,Foxgloves,Plant
Digitaria,Grass,Plant
Dimocarpus,FloweringTreeShrub,Plant
Durio,DurianTree,Plant
Echium,FloweringPlant,Plant
Elaeis,OilPalms,Plant
Eleusine,Grass,Plant
Eperua,FloweringPlant,Plant
Eragrostis,Grass,Plant
Eranthis,FloweringPlants,Plant
Eriobotrya,FloweringTreeShrub,Plant
Erythranthe,FloweringPlants,Plant
Eucalyptus,Eucalyptus,Plant
Eustoma,FloweringPlant,Plant
Eutrema,Wasabi,Plant
Fagus,BeechTree,Plant
Fragaria,Rose,Plant
Fraxinus,FloweringPlant,Plant
Galega,FloweringLegumePlant,Plant
Gentiana,FloweringPlant,Plant
Geranium,Geranium,Plant
Glycine,eukaryota,Plant
Glycinemax,eukaryota,Plant
Glycine,Soybean,Plant
Glycyrrhiza,Licorice,Plant
Gossypium,Cotton,Plant
Isodon,FloweringPlant,Plant
Haberlea,FloweringPlant,Plant
Helianthus,FloweringPlant,Plant
Herrania,FloweringPlant,Plant
Hevea,FloweringPlants,Plant
Hibiscus,FloweringPlant,Plant
Hordeum,Grass,Plant
Ilex,HollyTree,Plant
Ipomoea,FloweringPlant,Plant
Jatropha,FloweringPlant,Plant
Juglans,WalnutTree,Plant
Koelreuteria,DeciduousTree,Plant
Lactuca,Lettuce,Plant
Lagenaria,Gourd,Plant
Lagerstroemia,EvergreenTree,Plant
Lathyrus,FloweringPlant,Plant
Leucas,FloweringPlant,Plant
Lens,Lentil,Plant
Leucaena,FloweringPlant,Plant
Lilium,Lilly,Plant
Linum,Flax,Plant
Litchi,Lychee,Plant
Lithospermum,FloweringPlant,Plant
Lotus,Lotus,Plant
Luffa,Vine,Plant
Lupinus,Bluebellsetc,Plant
Lycium,FloweringPlant,Plant
Magnolia,Magnolia,Plant
Malus,AppleTrees,Plant
Mangifera,Cashew,Plant
Manihot,FloweringShrubTrees,Plant
Marchantia,Liverworts,Plant
Medicago,Medick,Plant
Melilotus,FloweringPlant,Plant
Mentha,Mint,Plant
Miscanthus,Grass,Plant
Momordica,Climber,Plant
Morella,BerryPlant,Plant
Morus,Mulberries,Plant
Musa,BananasEtc,Plant
Nelumbo,AquaticFlowers,Plant
Nepeta,FloweringPlant,Plant
Nicotiana,Tabacco,Plant
Nicrophorus,Beetle,Plant
Nilaparvata,Planthopper,Plant
Nymphaea,AquaticFlowers,Plant
Ocimum,Herbs,Plant
Oldenlandia,FloweringPlant,Plant
Oleaeuropaea,Olive,Plant
Ononis,Herbs,Plant
Oryza,Rice,Plant
Oxytropis,FloweringLegume,Plant
Pachysandra,Evergreen,Plant
Paeonia,Peony,Plant
Panax,FloweringPlant,Plant
Panicum,Grass,Plant
Papaver,FloweringPlant,Plant
Perilla,FloweringPlant,Plant
Petunia,FloweringPlant,Plant
Phalaenopsis,FloweringPlant,Plant
Phaseolus,WildBean,Plant
Phelipanche,FloweringPlant,Plant
Phippsiomeles,Tree,Plant
Phlomis,Herb,Plant
Phoenix,Palms,Plant
Photinia,TreeShrub,Plant
Phyllostachys,Bamboo,Plant
Physcomitrium,Moss,Plant
Picea,Spruce,Plant
Picrorhiza,FloweringPlant,Plant
Pinus,Pine,Plant
Pistacia,FloweringPlant,Plant
Pisum,FloweringPlant,Plant
Plantago,FloweringPlant,Plant
Platanus,Tree,Plant
Pogostemon,FloweringPlant,Plant
Pongamia,FloweringPlant,Plant
Pontederia,AquaticFlower,Plant
Populus,FloweringPlant,Plant
Potentilla,FloweringPlant,Plant
Prosopis,FloweringPlant,Plant
Prunella,FloweringPlant,Plant
Prunus,FruitTree,Plant
Punica,TreeShrub,Plant
Pyrus,Pears,Plant
Quercus,Oak,Plant
Raphanus,Raddish,Plant
Rehmannia,FloweringPlant,Plant
Rhodamnia,Tree,Plant
Rhododendron,Rhododendron,Plant
Ricinus,Caster,Plant
Rosa,Roses,Plant
Saccharum,Grass,Plant
Salix,Willow,Plant
Salvia,FloweringPlant,Plant
Scoparia,FloweringPlant,Plant
Scutellaria,FloweringPlant,Plant
Sesamum,Sesame,Plant
Selaginella,SpikeMoss,Plant
Senna,Legumes,Plant
Sesbania,FloweringPlant,Plant
Setaria,Grass,Plant
Silene,FloweringPlant,Plant
Sinapis,FloweringPlant,Plant
Siraitia,FloweringPlant,Plant
Solanum,Potato/Tomato,Plant
Sorbus,TreeShrub,Plant
Sorghum,FloweringPlant,Plant
Spinacia,Spinach,Plant
Striga,Witchweed,Plant
Swainsona,FloweringPlant,Plant
Syzygium,Flower,Plant
Tamarix,FloweringPlant,Plant
Taraxacum,Dandelion,Plant
Tarenaya,FloweringPlant,Plant
Thalictrum,FlowreringPlant,Plant
Theobroma,FloweringPlant,Plant
Trema,Evergreen,Plant
Trifolium,Clover,Plant
Trigonella,Herb,Plant
Triphysaria,FloweringPlant,Plant
Tripterygium,FloweringPlant,Plant
Triticum,Grass,Plant
Urochloa,Grass,Plant
Vaccinium,FloweringPlant,Plant
Vicia,FloweringPlant,Plant
Vitis,Grapevine,Plant
Vigna,FlowersBeans,Plant
Vitis,Grapes,Plant
Zea,Cereal,Plant
Ziziphora,FloweringPlant,Plant
Ziziphus,SpinyShrubs,Plant
Acropora,Coral,Aquatic
Actinia,SeaAnemone,Aquatic
Amphimedon,Sponge,Aquatic
Anncaliia,Microsporidia,Fungus
Aplysia,Seaslug,Aquatic
Artemia,BrineShrimp,Aquatic
Biomphalaria,WaterSnail,Aquatic
Brachionus,PlanktonRotifer,Aquatic
Caligus,Sealice,Aquatic
Crassostrea,Oysters,Aquatic
Cyprideis,SeedShrimp,Aquatic
Daphnia,Daphnia,Aquatic
Darwinula,Ostracod,Aquatic
Dendronephthya,Coral,Aquatic
Emiliania,Phytoplankton,Aquatic
Eubosmina,Waterflea,Aquatic
Eurytemora,Copepod,Aquatic
Exaiptasia,Anemone,Aquatic
Hyalella,Amphipods,Aquatic
Hydra,Hydrozoa,Aquatic
Ichthyophthirius,FishParasite,Aquatic
Lepeophtheirus,Sealice,Aquatic
Limulus,HorseShoeCrab,Aquatic
Lingula,Brachiopod,Aquatic
Lottia,SeaSnail,Aquatic
Macrobrachium,Prawn,Aquatic
Mitosporidium,DaphniaEndoparasite,Aquatic
Mizuhopecten,Bivavle,Aquatic
Moina,WaterFlea,Aquatic
Mytilus,Bivalve,Aquatic
Nematostella,SeaAnemone,Aquatic
Notodromas,Ostracod,Aquatic
Octopus,Octopus,Aquatic
Orbicella,StonyCoral,Aquatic
Pecten,Bivavle,Aquatic
Peltaster,Echinoderm,Aquatic
Penaeus,Prawn,Aquatic
Perinereis,Ragworm,Aquatic
Philodina,Rotifer,Aquatic
Placozoa,Placozoa,Aquatic
Platynereis,MarineWorm,Aquatic
Pocillopora,Coral,Aquatic
Pollicipes,Barnacle,Aquatic
Pomacea,FreshwaterSnail,Aquatic
Portunus,Crab,Aquatic
Priapulus,PenisWorm,Aquatic
Procambarus,Crayfish,Aquatic
Scapholeberis,FreshwaterCrustacean,Aquatic
Schmidtea,FreshwaterTriclad,Aquatic
Scylla,Crab,Aquatic
Sepia,Cuttlefish,Aquatic
Sphaeroforma,Ichthyosporeans,Aquatic
Spirodela,Duckweed,Aquatic
Streptocephalus,FairyShrimp,Aquatic
Stylophora,Coral,Aquatic
Tigriopus,Copepod,Aquatic
Trichoplax,Placozoa,Aquatic
Acarus,Mite,Macroparasite
Aethina,HivePest,Macroparasite
Aleuroglyphus,Mite,Macroparasite
Apocephalus,PhoridFlyAttacksBumbleBees,Macroparasite
Brugia,Roundworm,Macroparasite
Dermacentor,Tick,Macroparasite
Echinococcus,Flatworms,Macroparasite
Fasciola,RiverFluke,Macroparasite
Galendromus,Mite,Macroparasite
Haemaphysalis,Tick,Macroparasite
Histiostoma,Mite,Macroparasite
Ixodes,Tick,Macroparasite
Locustacarus,MiteAttacksBumbleBees,Macroparasite
Opisthorchis,Fluke,Macroparasite
Parasitus,Mite,Macroparasite
Pediculus,Louse,Macroparasite
Podapolipus,Mite,Macroparasite
Rhipicephalus,Tick,Macroparasite
Rhizoglyphus,Mite,Macroparasite
Sancassania,Mite,Macroparasite
Schistosoma,Trematode,Macroparasite
Spirometra,Platyhelminthe,Macroparasite
Tetranychus,Spidermite,Macroparasite
Tyrophagus,Mite,Macroparasite
Varroa,Mite,Macroparasite
Acanthocheilonema,Nematode,Nematode
Acrobeloides,Nematode,Nematode
Ancylostoma,Nematode,Nematode
Angiostrongylus,Nematode,Nematode
Aphelenchoides,Nematode,Nematode
Aphelenchus,Nematode,Nematode
Anisakis,Nematode,Nematode
Bursaphelenchus,Nematode,Nematode
Dictyocaulus,Nematode,Nematode
Dirofilaria,Nematode,Nematode
Ditylenchus,Nematode,Nematode
Globodera,Nematode,Nematode
Gongylonema,Nematode,Nematode
Haemonchus,Nematode,Nematode
Heterodera,Nematode,Nematode
Hymenolepis,Nematode,Nematode
Loa,Nematode,Nematode
Meloidogyne,Nematode,Nematode
Micoletzkya,Nematode,Nematode
Necator,Nematode,Nematode
Nematoda,Nematode,Nematode
Onchocerca,Nematode,Nematode
Oscheius,Nematode,Nematode
Panagrellus,Nematode,Nematode
Parastrongyloides,Nematode,Nematode
Pelodera,Nematode,Nematode
Pratylenchus,Nematode,Nematode
Pristionchus,Nematode,Nematode
Radopholus,Nematode,Nematode
Steinernema,Nematode,Nematode
Strongyloides,Nematode,Nematode
Teladorsagia,Nematode,Nematode
Toxascaris,Nematode,Nematode
Trichinella,Nematode,Nematode
Trichostrongylus,Nematode,Nematode
Wuchereria,Nematode,Nematode
Zeldia,Nematode,Nematode
Aaosphaeria,Fungus,Fungus
Acaromyces,Fungus,Fungus
Agaricus,Mushroom,Fungus
Albugo,Fungus,Fungus
Alternaria,Fungus,Fungus
Anthracocystis,Fungus,Fungus
Aphanomyces,Fungus,Fungus
Apiotrichum,Fungus,Fungus
Aplosporella,Fungus,Fungus
Apophysomyces,Fungus,Fungus
Armillaria,Mushroom,Fungus
Ascosphaera,Fungus,Fungus
Aspergillus,Fungus,Fungus
Aureobasidium,Fungus,Fungus
Babjeviella,Fungus,Fungus
Basidiobolus,Fungus,Fungus
Batrachochytrium,Fungus,Fungus
Baudoinia,Fungus,Fungus
Beauveria,Fungus,Fungus
Bipolaris,Fungus,Fungus
Blastobotrys,Fungus,Fungus
Blumeria,Fungus,Fungus
Botryobasidium,Fungus,Fungus
Botrytis,Fungus,Fungus
Brettanomyces,Fungus,Fungus
Byssochlamys,Fungus,Fungus
Candida,Fungus,Fungus
Capronia,Fungus,Fungus
Cenococcum,Fungus,Fungus
Ceraceosorus,Fungus,Fungus
Cercospora,Fungus,Fungus
Chaetomium,Fungus,Fungus
Cladophialophora,Fungus,Fungus
Cladosporium,Fungus,Fungus
Clavispora,Fungus,Fungus
Coccidioides,Fungus,Fungus
Colletotrichum,Fungus,Fungus
Coprinopsis,Mushroom,Fungus
Cordyceps,Fungus,Fungus
Cryptococcus,Fungus,Fungus
Cutaneotrichosporon,Fungus,Fungus
Cyberlindnera,Fungus,Fungus
Debaryomyces,Fungus,Fungus
Didymella,Fungus,Fungus
Diplodia,Fungus,Fungus
Dissoconium,Fungus,Fungus
Diutina,Fungus,Fungus
Endocarpon,Lichen,Fungus
Eremomyces,Fungus,Fungus
Eremothecium,Fungus,Fungus
Exophiala,Fungus,Fungus
Exserohilum,Fungus,Fungus
Fonsecaea,Fungus,Fungus
Fusarium,Fungus,Fungus
Gaeumannomyces,Fungus,Fungus
Geosmithia,Fungus,Fungus
Globisporangium,Fungus,Fungus
Golovinomyces,Fungus,Fungus
Grosmannia,Fungus,Fungus
Hyaloscypha,Fungus,Fungus
Hyphopichia,Fungus,Fungus
Jaminaea,Fungus,Fungus
Kalmanozyma,Fungus,Fungus
Kazachstania,Fungus,Fungus
Kluyveromyces,Fungus,Fungus
Kodamaea,Fungus,Fungus
Komagataella,Fungus,Fungus
Kuraishia,Fungus,Fungus
Kwoniella,Fungus,Fungus
Lachancea,Fungus,Fungus
Lasiodiplodia,Fungus,Fungus
Lentinula,Mushroom,Fungus
Leptosphaeria,Fungus,Fungus
Leucosporidium,Fungus,Fungus
Lichtheimia,Fungus,Fungus
Lobosporangium,Fungus,Fungus
Lodderomyces,Fungus,Fungus
Macroventuria,Fungus,Fungus
Malassezia,Fungus,Fungus
Meira,Fungus,Fungus
Melampsora,Fungus,Fungus
Melanopsichium,Fungus,Fungus
Metarhizium,Fungus,Fungus
Metschnikowia,Fungus,Fungus
Meyerozyma,Fungus,Fungus
Millerozyma,Fungus,Fungus
Mixia,Fungus,Fungus
Moesziomyces,Fungus,Fungus
Moniliella,Fungus,Fungus
Mucor,Fungus,Fungus
Mycena,Mushroom,Fungus
Naganishia,Fungus,Fungus
Nakaseomyces,Fungus,Fungus
Naumovozyma,Fungus,Fungus
Neohortaea,Fungus,Fungus
Neurospora,Fungus,Fungus
Ogataea,Fungus,Fungus
Paracoccidioides,Fungus,Fungus
Paraphaeosphaeria,Fungus,Fungus
Parastagonospora,Fungus,Fungus
Penicilliopsis,Fungus,Fungus
Penicillium,Fungus,Fungus
Periconia,Fungus,Fungus
Phaffia,Fungus,Fungus
Phanerochaete,Fungus,Fungus
Phialemoniopsis,Fungus,Fungus
Phialophora,Fungus,Fungus
Phlebia,Fungus,Fungus
Phycomyces,Fungus,Fungus
Pichia,Fungus,Fungus
Pleurotus,Mushroom,Fungus
Pneumocystis,Fungus,Fungus
Postia,Fungus,Fungus
Pseudocercospora,Fungus,Fungus
Pseudogymnoascus,Fungus,Fungus
Pseudomicrostroma,Fungus,Fungus
Pseudozyma,Fungus,Fungus
Puccinia,Fungus,Fungus
Pyrenophora,Fungus,Fungus
Pyricularia,Fungus,Fungus
Ramularia,Fungus,Fungus
Rhizoctonia,Fungus,Fungus
Rhizophagus,Fungus,Fungus
Rhizopus,Fungus,Fungus
Rhodotorula,Fungus,Fungus
Rasamsonia,Fungus,Fungus
Saccharomyces,Fungus,Fungus
Saitoella,Fungus,Fungus
Saprochaete,Fungus,Fungus
Scheffersomyces,Fungus,Fungus
Schizosaccharomyces,Fungus,Fungus
Sclerotinia,Fungus,Fungus
Sodiomyces,Fungus,Fungus
Sordaria,Fungus,Fungus
Spathaspora,Fungus,Fungus
Sphaerulina,Fungus,Fungus
Spizellomyces,Fungus,Fungus
Sporidiobolus,Fungus,Fungus
Sporisorium,Fungus,Fungus
Sporothrix,Fungus,Fungus
Starmerella,Fungus,Fungus
Stemphylium,Fungus,Fungus
Sugiyamaella,Fungus,Fungus
Suhomyces,Fungus,Fungus
Synchytrium,Fungus,Fungus
Talaromyces,Fungus,Fungus
Teratosphaeria,Fungus,Fungus
Tetrapisispora,Fungus,Fungus
Thermothielavioides,Fungus,Fungus
Tilletiaria,Fungus,Fungus
Tilletiopsis,Fungus,Fungus
Torulaspora,Fungus,Fungus
Trichoderma,Fungus,Fungus
Trichophyton,Fungus,Fungus
Trichosporon,Fungus,Fungus
Trametes,Fungus,Fungus
Ustilago,Fungus,Fungus
Vanderwaltozyma,Fungus,Fungus
Verticillium,Fungus,Fungus
Wallemia,Fungus,Fungus
Wickerhamiella,Fungus,Fungus
Wickerhamomyces,Fungus,Fungus
Xylaria,Fungus,Fungus
Xylona,Fungus,Fungus
Yamadazyma,Fungus,Fungus
Yarrowia,Fungus,Fungus
Zasmidium,Fungus,Fungus
Zygosaccharomyces,Fungus,Fungus
Zygotorulaspora,Fungus,Fungus
Zymoseptoria,Fungus,Fungus
Angomonas,Trypanosome,Trypanosome
Crithidia,Trypanosome,Trypanosome
Endotrypanum,Trypanosome,Trypanosome
Herpetomonas,Trypanosome,Trypanosome
Leishmania,Trypanosome,Trypanosome
Leptomonas,Trypanosome,Trypanosome
Lotmaria,Trypanosome,Trypanosome
Paratrypanosoma,Trypanosome,Trypanosome
Phytomonas,Trypanosome,Trypanosome
Strigomonas,Trypanosome,Trypanosome
Trypanosoma,Trypanosome,Trypanosome
Wallaceina,Trypanosome,Trypanosome
Zelonia,Trypanosome,Trypanosome
Babesia,Unicellular:Parasite,Uniceullular
Besnoitia,Unicellular:Parasite,Uniceullular
Blastocystis,Unicellular:Parasite,Uniceullular
Cryptosporidium,Unicellular:Parasite,Uniceullular
Cyclospora,Unicellular:Parasite,Uniceullular
Eimeria,Unicellular:Parasite,Uniceullular
Encephalitozoon,Fungus,Fungus
Gregarina,Unicellular:Parasite,Uniceullular
Neospora,Unicellular:Parasite,Uniceullular
Nephromyces,Unicellular:Parasite,Uniceullular
Nosema,Microsporidia,Fungus
Ordospora,Fungus,Fungus
Perkinsus,Unicellular:Parasite,Aquatic
Phytophthora,Unicellular:Parasite,Uniceullular
Plasmodium,Unicellular:Parasite,Uniceullular
Plasmopara,Unicellular:Parasite,Uniceullular
Theileria,Unicellular:Parasite,Uniceullular
Toxoplasma,Unicellular:Parasite,Uniceullular
Tubulinosema,Microsporidia,Fungus
Vairimorpha,Microsporidia,Fungus
Vittaforma,Microsporidia,Fungus
Acytostelium,SlimeMould,Uniceullular
Bathycoccus,GreenAlgae,Uniceullular
Cavenderia,SlimeMould,Uniceullular
Capsaspora,Amoeboid,Uniceullular
Chlamydomonas,GreenAlgae,Uniceullular
Chloropicon,GreenAlgae,Uniceullular
Cyanidioschyzon,RedAlgae,Uniceullular
Dictyostelium,SlimeMould,Uniceullular
Entamoeba,Amoeboid,Uniceullular
Euglena,Flagellate,Uniceullular
Galdieria,RedAlgae,Uniceullular
Guillardia,Algae,Uniceullular
Heterostelium,SlimeMould,Uniceullular
